Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
29305-43870,RB,Joel,Joel Bouagnon,Bouagnon,0,0,4500,SEA@DET,DET,SEA,,,
29305-32613,RB,DeAndre,DeAndre Washington,Washington,4.533333333,15,4500,IND@OAK,OAK,IND,,,
29305-55153,TE,Garrett,Garrett Dickerson,Dickerson,0,0,4500,WAS@NYG,NYG,WAS,,,
29305-45964,WR,Marcus,Marcus Kemp,Kemp,1.200000048,1,4500,DEN@KC,KC,DEN,,,
29305-70556,RB,Jalen,Jalen Simmons,Simmons,0,0,4500,SF@ARI,ARI,SF,,,
29305-40866,WR,J'Mon,J'Mon Moore,Moore,1.5,1,4500,GB@LAR,GB,LAR,,,
29305-56233,WR,Steve,Steve Ishmael,Ishmael,0,0,4500,IND@OAK,IND,OAK,,,
29305-29624,RB,Tre,Tre Madden,Madden,0.466666659,3,4500,SEA@DET,SEA,DET,,,
29305-55224,RB,Reggie,Reggie Bonnafon,Bonnafon,0,0,4500,BAL@CAR,CAR,BAL,,,
29305-14268,RB,Stevan,Stevan Ridley,Ridley,1,4,4500,CLE@PIT,PIT,CLE,,,
29305-41922,WR,Johnny,Johnny Holton,Holton,5.757142748,7,4500,IND@OAK,OAK,IND,,,
29305-43973,RB,Keith,Keith Smith,Smith,1.450000048,2,4500,IND@OAK,OAK,IND,,,
29305-57299,TE,Gerald,Gerald Everett,Everett,2.01666673,6,4500,GB@LAR,LAR,GB,,,
29305-30678,WR,Damiere,Damiere Byrd,Byrd,0.433333317,3,4500,BAL@CAR,CAR,BAL,,,
29305-55257,WR,Steven,Steven Dunbar,Dunbar,0,0,4500,SF@ARI,SF,ARI,,,
29305-30684,RB,Brandon,Brandon Wilds,Wilds,0.5,3,4500,SF@ARI,ARI,SF,,,
29305-41954,WR,Victor,Victor Bolden Jr.,Bolden Jr.,1.5,1,4500,SF@ARI,SF,ARI,,,
29305-14327,RB,Anthony,Anthony Sherman,Sherman,3.625,4,4500,DEN@KC,KC,DEN,,,
29305-63479,RB,John,John Kelly,Kelly,0,0,4500,GB@LAR,LAR,GB,,,
29305-11431,TE,Jermaine,Jermaine Gresham,Gresham,2.033333302,3,4400,SF@ARI,ARI,SF,,,
29305-12535,D,Indianapolis,Indianapolis Colts,Colts,7.571428571,7,4400,IND@OAK,IND,OAK,,,
29305-32000,TE,Luke,Luke Willson,Willson,1.339999962,5,4400,SEA@DET,DET,SEA,,,
29305-22065,TE,Rhett,Rhett Ellison,Ellison,4.366666794,6,4400,WAS@NYG,NYG,WAS,,,
29305-80011,TE,Antony,Antony Auclair,Auclair,1.76666673,3,4300,TB@CIN,TB,CIN,,,
29305-12553,D,Carolina,Carolina Panthers,Panthers,7.5,6,4300,BAL@CAR,CAR,BAL,,,
29305-64031,TE,Hayden,Hayden Hurst,Hurst,0.400000016,3,4300,BAL@CAR,BAL,CAR,,,
29305-14240,TE,Lance,Lance Kendricks,Kendricks,2.700000127,6,4300,GB@LAR,GB,LAR,,,
29305-47870,TE,Tyler,Tyler Higbee,Higbee,2.979999924,5,4200,GB@LAR,LAR,GB,,,
29305-29592,TE,Xavier,Xavier Grimble,Grimble,1.966666698,3,4200,CLE@PIT,PIT,CLE,Q,Concussion,
29305-24533,TE,Mo,Mo Alie-Cox,Alie-Cox,2.433333397,3,4200,IND@OAK,IND,OAK,,,
29305-12552,D,Washington,Washington Redskins,Redskins,8,6,4100,WAS@NYG,WAS,NYG,,,
29305-38301,TE,Darren,Darren Fells,Fells,4.224999905,4,4100,CLE@PIT,CLE,PIT,,,
29305-54742,TE,Scott,Scott Simonson,Simonson,1.024999976,4,4100,WAS@NYG,NYG,WAS,,,
29305-72515,TE,Ian,Ian Thomas,Thomas,3.049999952,4,4100,BAL@CAR,CAR,BAL,,,
29305-14348,TE,Lee,Lee Smith,Smith,3.799999952,1,4000,IND@OAK,OAK,IND,,,
29305-27672,TE,Matt,Matt LaCosse,LaCosse,1.6,5,4000,DEN@KC,DEN,KC,,,
29305-29725,TE,Levine,Levine Toilolo,Toilolo,1.133333365,3,4000,SEA@DET,DET,SEA,,,
29305-62510,TE,Nick,Nick Boyle,Boyle,2.771428517,7,4000,BAL@CAR,BAL,CAR,,,
